cible,horizon,origin,VNM,CRI,DNK
CROISSANCE_PIB,3,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
CROISSANCE_PIB,3,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
CROISSANCE_PIB,3,2021,0.131052837381286,0.3155343041764201,0.553412858442294
CROISSANCE_PIB,4,2009,0.02958644729854046,0.155753409851232,0.8146601428502276
CROISSANCE_PIB,4,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
CROISSANCE_PIB,4,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
CROISSANCE_PIB,4,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
CROISSANCE_PIB,4,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
CROISSANCE_PIB,4,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
CROISSANCE_PIB,4,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
CROISSANCE_PIB,4,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
CROISSANCE_PIB,4,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
CROISSANCE_PIB,4,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
CROISSANCE_PIB,4,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
CROISSANCE_PIB,4,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
CROISSANCE_PIB,5,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
CROISSANCE_PIB,5,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
CROISSANCE_PIB,5,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
CROISSANCE_PIB,5,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
CROISSANCE_PIB,5,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
CROISSANCE_PIB,5,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
CROISSANCE_PIB,5,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
CROISSANCE_PIB,5,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
CROISSANCE_PIB,5,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
CROISSANCE_PIB,5,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
INFLATION_CPI,1,2007,1.570419527215755e-15,0.12301108809737177,0.8769889119026267
INFLATION_CPI,1,2008,0.0,0.15830761653736397,0.841692383462636
INFLATION_CPI,1,2009,0.02958644729854046,0.155753409851232,0.8146601428502276
INFLATION_CPI,1,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
INFLATION_CPI,1,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
INFLATION_CPI,1,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
INFLATION_CPI,1,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
INFLATION_CPI,1,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
INFLATION_CPI,1,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
INFLATION_CPI,1,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
INFLATION_CPI,1,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
INFLATION_CPI,1,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
INFLATION_CPI,1,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
INFLATION_CPI,1,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
INFLATION_CPI,1,2021,0.131052837381286,0.3155343041764201,0.553412858442294
INFLATION_CPI,1,2022,0.1446743701617237,0.36270885050725765,0.49261677933101866
INFLATION_CPI,1,2023,0.15483104432821929,0.39201513728361714,0.45315381838816343
INFLATION_CPI,2,2008,0.0,0.15830761653736397,0.841692383462636
INFLATION_CPI,2,2009,0.02958644729854046,0.155753409851232,0.8146601428502276
INFLATION_CPI,2,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
INFLATION_CPI,2,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
INFLATION_CPI,2,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
INFLATION_CPI,2,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
INFLATION_CPI,2,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
INFLATION_CPI,2,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
INFLATION_CPI,2,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
INFLATION_CPI,2,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
INFLATION_CPI,2,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
INFLATION_CPI,2,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
INFLATION_CPI,2,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
INFLATION_CPI,2,2021,0.131052837381286,0.3155343041764201,0.553412858442294
INFLATION_CPI,2,2022,0.1446743701617237,0.36270885050725765,0.49261677933101866
INFLATION_CPI,3,2008,0.0,0.15830761653736397,0.841692383462636
INFLATION_CPI,3,2009,0.02958644729854046,0.155753409851232,0.8146601428502276
INFLATION_CPI,3,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
INFLATION_CPI,3,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
INFLATION_CPI,3,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
INFLATION_CPI,3,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
INFLATION_CPI,3,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
INFLATION_CPI,3,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
INFLATION_CPI,3,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
INFLATION_CPI,3,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
INFLATION_CPI,3,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
INFLATION_CPI,3,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
INFLATION_CPI,3,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
INFLATION_CPI,3,2021,0.131052837381286,0.3155343041764201,0.553412858442294
INFLATION_CPI,4,2009,0.02958644729854046,0.155753409851232,0.8146601428502276
INFLATION_CPI,4,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
INFLATION_CPI,4,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
INFLATION_CPI,4,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
INFLATION_CPI,4,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
INFLATION_CPI,4,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
INFLATION_CPI,4,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
INFLATION_CPI,4,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
INFLATION_CPI,4,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
INFLATION_CPI,4,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
INFLATION_CPI,4,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
INFLATION_CPI,4,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
INFLATION_CPI,5,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
INFLATION_CPI,5,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
INFLATION_CPI,5,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
INFLATION_CPI,5,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
INFLATION_CPI,5,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
INFLATION_CPI,5,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
INFLATION_CPI,5,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
INFLATION_CPI,5,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
INFLATION_CPI,5,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
INFLATION_CPI,5,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
SOBG,1,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
SOBG,1,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
SOBG,1,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
SOBG,1,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
SOBG,1,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
SOBG,1,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
SOBG,1,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
SOBG,1,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
SOBG,1,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
SOBG,1,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
SOBG,1,2021,0.131052837381286,0.3155343041764201,0.553412858442294
SOBG,1,2022,0.1446743701617237,0.36270885050725765,0.49261677933101866
SOBG,1,2023,0.15483104432821929,0.39201513728361714,0.45315381838816343
SOBG,2,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
SOBG,2,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
SOBG,2,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
SOBG,2,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
SOBG,2,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
SOBG,2,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
SOBG,2,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
SOBG,2,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
SOBG,2,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
SOBG,2,2021,0.131052837381286,0.3155343041764201,0.553412858442294
SOBG,2,2022,0.1446743701617237,0.36270885050725765,0.49261677933101866
SOBG,3,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
SOBG,3,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
SOBG,3,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
SOBG,3,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
SOBG,3,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
SOBG,3,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
SOBG,3,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
SOBG,3,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
SOBG,3,2021,0.131052837381286,0.3155343041764201,0.553412858442294
SOBG,4,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
SOBG,4,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
SOBG,4,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
SOBG,4,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
SOBG,4,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
SOBG,4,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
SOBG,4,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
SOBG,4,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
SOBG,4,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
SOBG,5,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
SOBG,5,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
SOBG,5,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
SOBG,5,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
SOBG,5,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
DETTE_PUBLIQUE,1,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
DETTE_PUBLIQUE,1,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
DETTE_PUBLIQUE,1,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
DETTE_PUBLIQUE,1,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
DETTE_PUBLIQUE,1,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
DETTE_PUBLIQUE,1,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
DETTE_PUBLIQUE,1,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
DETTE_PUBLIQUE,1,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
DETTE_PUBLIQUE,1,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
DETTE_PUBLIQUE,1,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
DETTE_PUBLIQUE,1,2021,0.131052837381286,0.3155343041764201,0.553412858442294
DETTE_PUBLIQUE,1,2022,0.1446743701617237,0.36270885050725765,0.49261677933101866
DETTE_PUBLIQUE,1,2023,0.15483104432821929,0.39201513728361714,0.45315381838816343
DETTE_PUBLIQUE,2,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
DETTE_PUBLIQUE,2,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
DETTE_PUBLIQUE,2,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
DETTE_PUBLIQUE,2,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
DETTE_PUBLIQUE,2,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
DETTE_PUBLIQUE,2,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
DETTE_PUBLIQUE,2,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
DETTE_PUBLIQUE,2,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
DETTE_PUBLIQUE,2,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
DETTE_PUBLIQUE,2,2021,0.131052837381286,0.3155343041764201,0.553412858442294
DETTE_PUBLIQUE,2,2022,0.1446743701617237,0.36270885050725765,0.49261677933101866
DETTE_PUBLIQUE,3,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
DETTE_PUBLIQUE,3,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
DETTE_PUBLIQUE,3,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
DETTE_PUBLIQUE,3,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
DETTE_PUBLIQUE,3,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
DETTE_PUBLIQUE,3,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
DETTE_PUBLIQUE,3,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
DETTE_PUBLIQUE,3,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
DETTE_PUBLIQUE,3,2021,0.131052837381286,0.3155343041764201,0.553412858442294
DETTE_PUBLIQUE,4,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
DETTE_PUBLIQUE,4,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
DETTE_PUBLIQUE,4,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
DETTE_PUBLIQUE,4,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
DETTE_PUBLIQUE,4,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
DETTE_PUBLIQUE,4,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
DETTE_PUBLIQUE,4,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
DETTE_PUBLIQUE,4,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
DETTE_PUBLIQUE,4,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
DETTE_PUBLIQUE,5,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
DETTE_PUBLIQUE,5,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
DETTE_PUBLIQUE,5,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
DETTE_PUBLIQUE,5,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
DETTE_PUBLIQUE,5,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
BALANCE_COURANTE,1,2006,0.008336303645537743,0.07709673919475607,0.9145669571597063
BALANCE_COURANTE,1,2007,1.570419527215755e-15,0.12301108809737177,0.8769889119026267
BALANCE_COURANTE,1,2008,0.0,0.15830761653736397,0.841692383462636
BALANCE_COURANTE,1,2009,0.02958644729854046,0.155753409851232,0.8146601428502276
BALANCE_COURANTE,1,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
BALANCE_COURANTE,1,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
BALANCE_COURANTE,1,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
BALANCE_COURANTE,1,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
BALANCE_COURANTE,1,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
BALANCE_COURANTE,1,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
BALANCE_COURANTE,1,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
BALANCE_COURANTE,1,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
BALANCE_COURANTE,1,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
BALANCE_COURANTE,1,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
BALANCE_COURANTE,1,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
BALANCE_COURANTE,1,2021,0.131052837381286,0.3155343041764201,0.553412858442294
BALANCE_COURANTE,1,2022,0.1446743701617237,0.36270885050725765,0.49261677933101866
BALANCE_COURANTE,1,2023,0.15483104432821929,0.39201513728361714,0.45315381838816343
BALANCE_COURANTE,2,2007,1.570419527215755e-15,0.12301108809737177,0.8769889119026267
BALANCE_COURANTE,2,2008,0.0,0.15830761653736397,0.841692383462636
BALANCE_COURANTE,2,2009,0.02958644729854046,0.155753409851232,0.8146601428502276
BALANCE_COURANTE,2,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
BALANCE_COURANTE,2,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
BALANCE_COURANTE,2,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
BALANCE_COURANTE,2,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
BALANCE_COURANTE,2,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
BALANCE_COURANTE,2,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
BALANCE_COURANTE,2,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
BALANCE_COURANTE,2,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
BALANCE_COURANTE,2,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
BALANCE_COURANTE,2,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
BALANCE_COURANTE,2,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
BALANCE_COURANTE,2,2021,0.131052837381286,0.3155343041764201,0.553412858442294
BALANCE_COURANTE,2,2022,0.1446743701617237,0.36270885050725765,0.49261677933101866
BALANCE_COURANTE,3,2008,0.0,0.15830761653736397,0.841692383462636
BALANCE_COURANTE,3,2009,0.02958644729854046,0.155753409851232,0.8146601428502276
BALANCE_COURANTE,3,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
BALANCE_COURANTE,3,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
BALANCE_COURANTE,3,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
BALANCE_COURANTE,3,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
BALANCE_COURANTE,3,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
BALANCE_COURANTE,3,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
BALANCE_COURANTE,3,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
BALANCE_COURANTE,3,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
BALANCE_COURANTE,3,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
BALANCE_COURANTE,3,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
BALANCE_COURANTE,3,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
BALANCE_COURANTE,3,2021,0.131052837381286,0.3155343041764201,0.553412858442294
BALANCE_COURANTE,4,2009,0.02958644729854046,0.155753409851232,0.8146601428502276
BALANCE_COURANTE,4,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
BALANCE_COURANTE,4,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
BALANCE_COURANTE,4,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
BALANCE_COURANTE,4,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
BALANCE_COURANTE,4,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
BALANCE_COURANTE,4,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
BALANCE_COURANTE,4,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
BALANCE_COURANTE,4,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
BALANCE_COURANTE,4,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
BALANCE_COURANTE,4,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
BALANCE_COURANTE,4,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
BALANCE_COURANTE,5,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
BALANCE_COURANTE,5,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
BALANCE_COURANTE,5,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
BALANCE_COURANTE,5,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
BALANCE_COURANTE,5,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
BALANCE_COURANTE,5,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
BALANCE_COURANTE,5,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
BALANCE_COURANTE,5,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
BALANCE_COURANTE,5,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
BALANCE_COURANTE,5,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
TACH,1,2006,0.008336303645537743,0.07709673919475607,0.9145669571597063
TACH,1,2007,1.570419527215755e-15,0.12301108809737177,0.8769889119026267
TACH,1,2008,0.0,0.15830761653736397,0.841692383462636
TACH,1,2009,0.02958644729854046,0.155753409851232,0.8146601428502276
TACH,1,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
TACH,1,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
TACH,1,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
TACH,1,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
TACH,1,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
TACH,1,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
TACH,1,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
TACH,1,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
TACH,1,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
TACH,1,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
TACH,1,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
TACH,1,2021,0.131052837381286,0.3155343041764201,0.553412858442294
TACH,1,2022,0.1446743701617237,0.36270885050725765,0.49261677933101866
TACH,1,2023,0.15483104432821929,0.39201513728361714,0.45315381838816343
TACH,2,2007,1.570419527215755e-15,0.12301108809737177,0.8769889119026267
TACH,2,2008,0.0,0.15830761653736397,0.841692383462636
TACH,2,2009,0.02958644729854046,0.155753409851232,0.8146601428502276
TACH,2,2010,0.08606489393403051,0.14274910607914013,0.7711859999868294
TACH,2,2011,0.08224877629218277,0.15626951938046577,0.7614817043273515
TACH,2,2012,0.07081623135856996,0.16062101276969942,0.7685627558717306
TACH,2,2013,0.08081009081727902,0.1687363989042071,0.7504535102785138
TACH,2,2014,0.0882747388434987,0.19061524759615653,0.7211100135603448
TACH,2,2015,0.10539368356766061,0.1950569704016971,0.6995493460306422
TACH,2,2016,0.11511317832971583,0.20184431660834184,0.6830425050619423
TACH,2,2017,0.12698345144681544,0.21540485989692953,0.6576116886562551
TACH,2,2018,0.13122200142716742,0.2295541466943527,0.63922385187848
TACH,2,2019,0.13769598203732075,0.2571731938593687,0.6051308241033106
TACH,2,2020,0.12875543514978147,0.2867610063976468,0.5844835584525718
